Date,player_name,Reason
2020-08-11,Landry Shamet,placed on IL with sprained left foot
2020-08-11,Seth Curry,placed on IL with right leg injury
2020-08-11,T.J. Warren,placed on IL with sore right foot
2020-08-11,Danuel House Jr.,placed on IL with sore left toe
2020-08-11,Tyson Chandler,placed on IL with shoulder injury
2020-08-12,Alec Burks,placed on IL with sore left foot
2020-08-12,Daniel Theis,placed on IL with sore right foot
2020-08-12,Jayson Tatum,placed on IL with sprained left ankle
2020-08-12,Kemba Walker,placed on IL with left knee injury
2020-08-12,Kendrick Nunn,placed on IL with throat
2020-08-12,Mike Conley Jr.,placed on IL with sore right knee
2020-08-12,Rudy Gobert,placed on IL with sore lower back
2020-08-12,Alex Caruso,placed on IL with neck spasms
2020-08-12,Malcolm Brogdon,placed on IL with sore neck
2020-08-12,Ogugua Anunoby,placed on IL with sore right knee
2020-08-12,Russell Westbrook,placed on IL with strained right quadriceps
2020-08-13,Nassir Little,placed on IL with dehydraftion
2020-08-13,Ersan Ilyasova,placed on IL with sprained right elbow
2020-08-13,Gabe Vincent,placed on IL with sprained right shoulder
2020-08-13,Emmanuel Mudiay,placed on IL with sore left knee
2020-08-13,Anthony Davis,placed on IL with sore right knee
2020-08-13,Kristaps Porzingis,placed on IL with bruised left heel
2020-08-13,Myles Turner,placed on IL with sprained right wrist
2020-08-13,Chris Paul,placed on IL with left hand injury
2020-08-13,Luguentz Dort,placed on IL with sprained right knee
2020-08-14,Edrice Adebayo,placed on IL with sore right knee
2020-08-14,Goran Dragic,placed on IL with sore left ankle
2020-08-14,Victor Oladipo,placed on IL with sore left ankle
2020-08-14,Tyson Chandler,placed on IL
2020-08-14,Abdel Nader,placed on IL with neck injury
2020-08-16,Glenn Robinson III,placed on IL with strained left oblique muscle (out for season)
2020-08-16,Ed Davis (Adam),placed on IL with left knee injury (out for season)
2020-08-18,Chris Silva,placed on IL with pubic bone injury and strained left groin
2020-08-19,Patrick Beverley,placed on IL with strained left calf
2020-08-21,Javonte Green,placed on IL with sprained right knee (out for season)
2020-08-21,Rondae Hollis-Jefferson,placed on IL with left knee injury
2020-08-22,Melvin Frazier Jr.,placed on IL with sore lower back
2020-08-24,Rajon Rondo,placed on IL with back spasms
2020-08-24,Vic Law,placed on IL with left Achilles injury
2020-08-25,Damian Lillard,placed on IL with sprained right knee (out for season)
2020-08-25,Kristaps Porzingis,placed on IL with torn meniscus in right knee (out for season)
2020-08-30,Eric Bledsoe,placed on IL with strained right hamstring
2020-08-30,Courtney Lee,placed on IL with left calf injury (out for season)
2020-09-04,Kelly Olynyk,placed on IL with bruised right knee
2020-09-06,Gabe Vincent,placed on IL (out for season)
2020-09-08,Dion Waiters,placed on IL with left groin injury
2020-09-12,Tyson Chandler,placed on IL with neck spasms (out for season)
2020-09-18,Romeo Langford,placed on IL with strained right adductor (out for season)
2020-10-02,Goran Dragic,placed on IL with torn plantar fascia in left foot (out for season)
2020-11-19,Klay Thompson,placed on IL with torn right Achilles tendon (out for season)
2020-12-21,Marcus Morris,placed on IL with sore right knee
2020-12-21,Draymond Green,placed on IL with sore right foot
2020-12-21,Rui Hachimura,placed on IL with eye injury
2020-12-22,Kevin Love,placed on IL with right calf injury
2020-12-22,Matthew Dellavedova,placed on IL with concussion
2020-12-22,Tacko Fall,placed on IL with eye injury
2020-12-22,Killian Tillie,placed on IL with strained right hamstring
2020-12-22,DaQuan Jeffries,placed on IL with back injury
2020-12-22,Austin Rivers,placed on IL with sore right groin
2020-12-22,Kostas Antetokounmpo,placed on IL
2020-12-22,James Ennis III,placed on IL with right hamstring injury
2020-12-22,Kristaps Porzingis,placed on IL with right knee injury
2020-12-22,JaMychal Green,placed on IL with left calf injury
2020-12-22,Patrick McCaw,placed on IL with left knee injury
2020-12-22,Derrick White,placed on IL with left toe injury
2020-12-22,Frank Kaminsky,placed on IL
2020-12-23,Anfernee Simons,placed on IL with strained left hamstring
2020-12-23,D.J. Augustine,placed on IL with strained left calf
2020-12-23,Devon Dotson,placed on IL
2020-12-23,Dante Exum,placed on IL with left hip injury
2020-12-23,Kemba Walker,placed on IL with left knee injury
2020-12-23,Jaren Jackson Jr.,placed on IL with left knee injury
2020-12-23,Justise Winslow,placed on IL with left hip injury
2020-12-23,Clint Capela,placed on IL with sore left Achilles
2020-12-23,Kris Dunn,placed on IL with right knee injury
2020-12-23,Onyeka Okongwu,placed on IL with left foot injury
2020-12-23,Gabe Vincent,placed on IL with right knee injury
2020-12-23,Jarrell Brantley,placed on IL
2020-12-23,Trent Forrest,placed on IL with right knee injury
2020-12-23,Al-Farouq Aminu,placed on IL with recovering from surgery on right knee
2020-12-23,Brian Bowen II,placed on IL with groin injury
2020-12-23,Goga Bitadze,placed on IL with sprained right ankle
2020-12-23,Jeremy Lamb,placed on IL with recovering from surgery on left knee to repair torn ACL
2020-12-23,Jordan McLaughlin,placed on IL
2020-12-26,Dylan Windler,placed on IL with fractured left hand
2020-12-26,Jimmy Butler,placed on IL with sprained right ankle
2020-12-26,Cody Zeller,placed on IL with fractured left hand
2020-12-26,Immanuel Quickley,placed on IL with left hip injury
2020-12-26,Obi Toppin,placed on IL with strained right calf
2020-12-26,Trevor Ariza,placed on IL
2020-12-26,Marquese Chriss,placed on IL with fractured fibula in right leg
2020-12-26,Kevin Love,placed on IL with strained right calf
2020-12-27,Jaylen Adams,placed on IL
2020-12-27,Isaac Okoro,placed on IL with sprained left foot
2020-12-27,Kris Dunn,placed on IL with loose cartilage in right ankle
2020-12-27,Dennis Smith Jr.,placed on IL with bruised left quadricep
2020-12-27,Anthony Davis,placed on IL with right calf injury
2020-12-27,Victor Oladipo,placed on IL with right knee injury
2020-12-27,Blake Griffin,placed on IL with left knee injury
2020-12-27,Karl-Anthony Towns,placed on IL with sprained left wrist
2020-12-28,Furkan Korkmaz,placed on IL with strained left adductor
2020-12-28,Carmelo Anthony,placed on IL
2020-12-28,Kostas Antetokounmpo,placed on IL with right knee tendinitis
2020-12-28,Kyrie Irving,placed on IL
2020-12-28,Spencer Dinwiddie,placed on IL with torn ACL in right knee (out for season)
2020-12-29,Torrey Craig,placed on IL with fractured nose
2020-12-29,Ja Morant,placed on IL with sprained left ankle
2020-12-29,George Hill,placed on IL with neck spasms
2020-12-29,Josh Okogie,placed on IL with strained left hamstring
2020-12-30,Gary Trent Jr.,placed on IL with strained right calf
2020-12-30,Tristan Thompson,placed on IL with right hamstring injury
2020-12-30,DaQuan Jeffries,placed on IL with sprained left ankle
2020-12-30,Frank Ntilikina,placed on IL with sprained right knee
2020-12-30,T.J. Warren,placed on IL with stress fracture in left foot (out for season)
2020-12-30,Mason Jones,placed on IL with sprained right ankle
2020-12-30,LaMarcus Aldridge,placed on IL with sore left knee
2020-12-31,Rajon Rondo,placed on IL with sore left knee
2020-12-31,Terrence Ross,placed on IL with right hamstring injury
2020-12-31,Blake Griffin,placed on IL with concussion
2020-12-31,Jalen Smith,placed on IL with sprained left ankle
2021-01-01,Gabe Vincent,placed on IL with sore right knee
2021-01-01,Tyrese Haliburton,placed on IL with left wrist injury
2021-01-01,Chuma Okeke,placed on IL with left knee injury
2021-01-01,Keita Bates-Diop,placed on IL
2021-01-02,(James) Mike Scott,placed on IL with bruised left knee
2021-01-02,Rodney Hood,placed on IL with strained left quadriceps
2021-01-02,Danilo Gallinari,placed on IL with sprained right ankle
2021-01-02,Alec Burks,placed on IL with sprained left ankle
2021-01-02,Evan Fournier,placed on IL with back spasms
2021-01-02,Derrick White,placed on IL with fractured toe
2021-01-03,Sam Merrill,placed on IL with sprained left ankle
2021-01-03,Kentavious Caldwell-Pope,placed on IL with sprained left ankle
2021-01-03,Aleksej Pokusevski,placed on IL with concussion
2021-01-04,Pat Connaughton,placed on IL with strained left groin
2021-01-04,Jeff Teague,placed on IL with sprained left ankle
2021-01-04,Marcus Smart,placed on IL with sprained right thumb
2021-01-04,Blake Griffin,placed on IL
2021-01-04,Josh Jackson,placed on IL with sprained right ankle
2021-01-04,Danuel House Jr.,placed on IL with back injury
2021-01-05,Dante Exum,placed on IL with strained right calf (out for season)
2021-01-05,Rajon Rondo,placed on IL with sore left knee
2021-01-05,Michael Carter-Williams,placed on IL with sore left foot
2021-01-05,Jalen Lecque,placed on IL with sprained left ankle
2021-01-06,Maurice Harkless,placed on IL with left forearm injury
2021-01-06,Nerlens Noel,placed on IL with sprained left ankle
2021-01-06,Killian Hayes,placed on IL with torn labrum in right hip
2021-01-07,Seth Curry,placed on IL with sore left ankle
2021-01-07,Reggie Perry,placed on IL with left groin injury
2021-01-08,Jaylen Adams,placed on IL
2021-01-08,Joe Ingles,placed on IL with right Achilles injury
2021-01-08,Anthony Davis,placed on IL with strained right adductor
2021-01-08,Markelle Fultz,placed on IL with torn ACL in left knee (out for season)
2021-01-08,Brodric Thomas,placed on IL with sprained right ankle
2021-01-09,Ben Simmons,placed on IL with sore left knee
2021-01-09,Joel Embiid,placed on IL with back injury
2021-01-09,Giannis Antetokounmpo,placed on IL with back spasms
2021-01-09,Gabe Vincent,placed on IL with sore right knee
2021-01-10,Otto Porter Jr.,placed on IL with back injury
2021-01-10,Bogdan Bogdanovic,placed on IL with sprained right knee
2021-01-10,Jared Dudley,placed on IL with right calf injury
2021-01-10,Derrick Rose,placed on IL with sore left knee
2021-01-10,Karl-Anthony Towns,placed on IL with left wrist injury
2021-01-11,Darius Garland,placed on IL with strained right shoulder
2021-01-11,Jahmi'us Ramsey,placed on IL
2021-01-11,Reggie Bullock,placed on IL with right hip injury
2021-01-11,Russell Westbrook,placed on IL with left quadriceps injury
2021-01-11,Thomas Bryant,placed on IL with torn ACL in left knee (out for season)
2021-01-12,Joe Ingles,placed on IL with sore right Achilles
2021-01-12,Trent Forrest,placed on IL
2021-01-12,Wesley Matthews,placed on IL with right Achilles injury (DTD)
2021-01-12,Lonzo Ball,placed on IL with knee injury
2021-01-12,Keita Bates-Diop,placed on IL with upper respiratory infection
2021-01-13,Caris LeVert,placed on IL
2021-01-13,Jarrett Allen,placed on IL
2021-01-13,Rodions Kurucs,placed on IL
2021-01-13,Taurean Prince,placed on IL
2021-01-13,Eric Bledsoe,placed on IL with right eye injury
2021-01-14,Jahmi'us Ramsey,placed on IL with strained left groin
2021-01-15,Joel Embiid,placed on IL with sore right knee
2021-01-15,Hassan Whiteside,placed on IL with sore left hip
2021-01-16,Jusuf Nurkic,placed on IL with fractured right wrist
2021-01-16,Frank Jackson,placed on IL with sprained left ankle
2021-01-17,Tacko Fall,placed on IL with sprained left ankle
2021-01-17,Elijah Hughes,placed on IL with sprained left ankle
2021-01-17,JaKarr Sampson,placed on IL with sore back
2021-01-17,Myles Turner,placed on IL with fractured right hand
2021-01-18,C.J. McCollum,placed on IL with fractured left foot
2021-01-18,Otto Porter Jr.,placed on IL with strained lower back
2021-01-18,Patrick Williams,placed on IL with bruised right hip
2021-01-18,John Wall (Hildred),placed on IL with sore left knee
2021-01-20,(James) Mike Scott,placed on IL with right knee injury
2021-01-21,Austin Rivers,placed on IL with sore right Achilles
2021-01-21,Christian Wood,placed on IL with sprained right ankle
2021-01-22,Adam Mokoka,placed on IL with concussion
2021-01-22,Wendell Carter Jr.,placed on IL with bruised right quadriceps
2021-01-22,Aaron Nesmith,placed on IL with lower back spasms
2021-01-22,Tyler Herro,placed on IL with neck spasms
2021-01-22,Markus Howard,placed on IL
2021-01-22,Kyle Lowry,placed on IL with toe injury
2021-01-23,Payton Pritchard,placed on IL with sprained MCL in right knee
2021-01-23,Blake Griffin,placed on IL with left knee injury
2021-01-23,Derrick Rose,placed on IL with sore left knee
2021-01-23,Victor Oladipo,placed on IL with right quadricep injury
2021-01-23,D'Angelo Russell,placed on IL with bruised right quadriceps
2021-01-24,Keljin Blevins,placed on IL
2021-01-24,Lamar Stevens,placed on IL
2021-01-24,Reggie Bullock,placed on IL with sore neck
2021-01-24,Pascal Siakam,placed on IL with left knee injury
2021-01-25,Joel Embiid,placed on IL with back injury
2021-01-25,Larry Nance Jr.,placed on IL with sprained right wrist
2021-01-25,Kemba Walker,placed on IL with left knee injury
2021-01-25,Patrick Beverley,placed on IL with sore right knee
2021-01-25,Nick Richards,placed on IL with sprained left ankle
2021-01-25,George Hill,placed on IL with sprained right thumb
2021-01-26,P.J. Dozier,placed on IL with strained right hamstring
2021-01-26,Jarrett Culver,placed on IL with sprained left ankle
2021-01-27,Lamar Stevens,placed on IL with strained abdominal
2021-01-27,Rajon Rondo,placed on IL with sprained left ankle
2021-01-27,Chris Silva,placed on IL with left hip flexor injury
2021-01-27,Meyers Leonard,placed on IL with strained left shoulder
2021-01-27,Jalen McDaniels,placed on IL
2021-01-27,Derrick Favors,placed on IL with sore lower back
2021-01-27,Donovan Mitchell,placed on IL with concussion
2021-01-27,Nemanja Bjelica,placed on IL with back spasms
2021-01-27,Blake Griffin,placed on IL with left knee injury
2021-01-27,Ogugua Anunoby,placed on IL with strained left calf
2021-01-28,Anthony Davis,placed on IL with bruised right quadriceps
2021-01-29,Derrick Jones Jr.,placed on IL with sprained left foot
2021-01-29,Robert Covington,placed on IL with concussion
2021-01-29,Killian Tillie,placed on IL with left foot injury
2021-01-29,Sean McDermott,placed on IL with left shoulder injury
2021-01-29,Naji Marshall,placed on IL with sprained left ankle
2021-01-29,Norman Powell,placed on IL with bruised right quadriceps
2021-01-30,Devon Dotson,placed on IL
2021-01-30,Robert Woodard II,placed on IL
2021-01-30,Kristaps Porzingis,placed on IL with right knee injury
2021-01-30,Cameron Payne,placed on IL with right foot injury
2021-01-31,Udoka Azubuike,placed on IL with sprained right ankle
2021-01-31,James Harden,placed on IL with left thigh injury
2021-01-31,Raulzinho Neto,placed on IL with left groin injury
2021-02-01,Larry Nance Jr.,placed on IL with sprained right wrist
2021-02-01,De'Andre Hunter,placed on IL with right knee injury
2021-02-01,Onyeka Okongwu,placed on IL with left Achilles injury
2021-02-01,Dennis Smith Jr.,placed on IL
2021-02-01,Aaron Gordon,placed on IL with sprained left ankle
2021-02-01,Gary Harris,placed on IL with strained left adductor
2021-02-01,Steven Adams,placed on IL with left calf injury
2021-02-02,Nassir Little,placed on IL with sprained left knee
2021-02-02,Marcus Smart,placed on IL with left calf injury
2021-02-02,Jahlil Okafor,placed on IL with left knee injury
2021-02-02,John Wall (Hildred),placed on IL with left Achilles injury
2021-02-02,LaMarcus Aldridge,placed on IL with right hip flexor injury
2021-02-03,Jordan Nwora,placed on IL
2021-02-03,Otto Porter Jr.,placed on IL with lower back spasms
2021-02-03,Kemba Walker,placed on IL with left knee injury
2021-02-03,Rudy Gay,placed on IL with left hip flexor injury
2021-02-04,(James) Mike Scott,placed on IL with right knee injury
2021-02-04,Ben Simmons,placed on IL with left calf injury
2021-02-04,Damian Lillard,placed on IL with strained abdominal
2021-02-04,Trae Young,placed on IL with bruised right calf
2021-02-04,Tyrell Terry,placed on IL
2021-02-04,Victor Oladipo,placed on IL with right quadricep injury
2021-02-05,Jaylen Brown,placed on IL with sore left knee
2021-02-05,Paul George,placed on IL with sore right foot
2021-02-05,Derrick Rose,placed on IL with left knee injury
2021-02-05,Wayne Ellington,placed on IL with strained right calf
2021-02-05,Christian Wood,placed on IL with sprained right ankle
2021-02-05,Dario Saric,placed on IL with sprained left ankle
2021-02-06,Lauri Markkanen,placed on IL with sprained right shoulder
2021-02-06,Mike Conley Jr.,placed on IL with right hamstring injury
2021-02-06,Nerlens Noel,placed on IL with sore left knee
2021-02-06,Kyrie Irving,placed on IL with right index finger injury
2021-02-06,Facundo Campazzo,placed on IL with sore right knee
2021-02-06,Jamal Murray,placed on IL with sore left knee
2021-02-06,D'Angelo Russell,placed on IL with right quadricep injury
2021-02-07,Larry Nance Jr.,placed on IL with fractured left hand/finger
2021-02-08,Alex Caruso,placed on IL with right hand injury
2021-02-08,Anthony Davis,placed on IL with right Achilles injury
2021-02-08,Iman Shumpert,placed on IL with strained left hamstring
2021-02-09,Keljin Blevins,placed on IL
2021-02-09,Rajon Rondo,placed on IL with sore lower back
2021-02-09,Evan Fournier,placed on IL with lower back spasms
2021-02-09,Derrick White,placed on IL with toe injury
2021-02-10,Yuta Watanabe,placed on IL with sprained left ankle
2021-02-10,D'Angelo Russell,placed on IL with sore left leg
2021-02-11,Shake Milton,placed on IL with sprained left ankle
2021-02-11,Robert Williams III,placed on IL with left hip injury
2021-02-11,Mason Plumlee,placed on IL with right elbow injury
2021-02-12,Kemba Walker,placed on IL with left knee injury
2021-02-12,Frank Mason,placed on IL with right groin injury
2021-02-12,Sekou Doumbouya,placed on IL with concussion
2021-02-12,Victor Oladipo,placed on IL with right ankle/foot injury
2021-02-13,Tony Snell,placed on IL with right Achilles injury
2021-02-13,Mitchell Robinson,placed on IL with fractured right hand
2021-02-13,Ishmael Smith,placed on IL with strained right quadriceps
2021-02-14,Rodney Hood,placed on IL with sprained left foot
2021-02-14,Kawhi Leonard,placed on IL with bruised left leg
2021-02-14,Kevin Durant,placed on IL with strained left hamstring
2021-02-14,Blake Griffin,placed on IL with left knee injury
2021-02-14,Anthony Gill,placed on IL with gastroenteritis
2021-02-15,Harry Giles III,placed on IL with strained left calf
2021-02-15,Nicolas Batum,placed on IL with concussion
2021-02-15,Anthony Davis,placed on IL with strained right calf / Achilles
2021-02-15,Paul Millsap,placed on IL with sprained left knee
2021-02-16,Daniel Theis,placed on IL with right index finger injury
2021-02-16,Cole Anthony,placed on IL with rib injury
2021-02-16,Kyrie Irving,placed on IL with tightness in lower back
2021-02-17,Kemba Walker,placed on IL with left knee injury
2021-02-17,Harrison Barnes,placed on IL with left foot injury
2021-02-18,Chimezie Metu,placed on IL with fractured right wrist
2021-02-18,Gary Harris,placed on IL with strained left adductor
2021-02-18,Kyle Lowry,placed on IL with sprained left thumb / sore left ankle
2021-02-19,Dillon Brooks,placed on IL with sore right thigh
2021-02-20,Brandon Clarke,placed on IL with right calf injury
2021-02-20,Glenn Robinson III,placed on IL with right knee injury
2021-02-21,Tyler Johnson,placed on IL with strained left adductor
2021-02-21,JaMychal Green,placed on IL with sprained left shoulder
2021-02-21,Delon Wright,placed on IL with strained right groin
2021-02-22,Sean McDermott,placed on IL
2021-02-22,Kristaps Porzingis,placed on IL with tightness in lower back / sore lower back
2021-02-22,DeMarcus Cousins,placed on IL with sore right heel
2021-02-23,Seth Curry,placed on IL with sore left ankle
2021-02-23,Cam Reddish,placed on IL with sore right Achilles
2021-02-23,Tyrell Terry,placed on IL
2021-02-23,Timothe Luwawu-Cabarrot,placed on IL with bruised right hip
2021-02-24,Kemba Walker,placed on IL with left knee injury
2021-02-24,Avery Bradley,placed on IL with bruised right knee
2021-02-24,Jerami Grant,placed on IL
2021-02-25,Elfrid Payton,placed on IL with right hamstring injury
2021-02-25,Hamidou Diallo,placed on IL with sore right groin
2021-02-26,Tobias Harris,placed on IL with bruised right knee
2021-02-26,Justise Winslow,placed on IL with left hip injury
2021-02-26,Tyrese Haliburton,placed on IL with sore left calf
2021-02-27,Grayson Allen,placed on IL with concussion
2021-02-27,Mike Conley Jr.,placed on IL with right hamstring injury
2021-02-27,Kyrie Irving,placed on IL with right shoulder injury
2021-02-28,Jaylen Brown,placed on IL with sore left knee
2021-02-28,Taj Gibson,placed on IL with sprained left ankle
2021-03-01,Jeff Green,placed on IL with right shoulder injury
2021-03-01,Timothe Luwawu-Cabarrot,placed on IL with sore right knee
2021-03-03,Clint Capela,placed on IL with right foot injury
2021-03-03,Alex Caruso,placed on IL with neck spasms
2021-03-03,LeBron James,placed on IL with sore left ankle
2021-03-03,Luka Doncic,placed on IL with tightness in lower back
2021-03-03,Jerami Grant,placed on IL with bruised left quadricep
2021-03-03,Kelly Oubre Jr.,placed on IL with sprained left wrist
2021-03-03,Josh Hall,placed on IL with sore left knee
2021-03-04,Draymond Green,placed on IL with sore left ankle
2021-03-10,Blake Griffin,placed on IL with left knee injury
2021-03-11,Chandler Hutchison,placed on IL with right leg injury
2021-03-11,James Ennis III,placed on IL with left calf injury
2021-03-11,J.J. Redick,placed on IL with right heel injury
2021-03-11,John Wall (Hildred),placed on IL with bruised left knee
2021-03-11,Rodions Kurucs,placed on IL with strained left oblique muscle
2021-03-11,Darius Bazley,placed on IL with left shoulder injury
2021-03-12,Darius Garland,placed on IL with strained left groin
2021-03-12,Taurean Prince,placed on IL with left shoulder injury
2021-03-12,Jared Dudley,placed on IL with right knee injury
2021-03-12,Eric Gordon,placed on IL with strained right groin (out for season)
2021-03-12,Shai Gilgeous-Alexander,placed on IL with bruised left quadricep
2021-03-13,Joel Embiid,placed on IL with bone bruise in left knee
2021-03-13,Garrett Temple,placed on IL with sprained left ankle
2021-03-13,Matthew Dellavedova,placed on IL with appendectomy
2021-03-13,Patrick Beverley,placed on IL with sore right knee
2021-03-13,Elfrid Payton,placed on IL with right hamstring injury
2021-03-13,Monte Morris,placed on IL with strained left quadriceps
2021-03-14,Clint Capela,placed on IL with heel injury
2021-03-14,Onyeka Okongwu,placed on IL with right adductor injury
2021-03-14,Evan Fournier,placed on IL with strained left groin
2021-03-15,Serge Ibaka,placed on IL with tightness in lower back
2021-03-15,Justise Winslow,placed on IL with left hip injury
2021-03-15,Jeremy Lamb,placed on IL with sore left knee
2021-03-15,Wayne Ellington,placed on IL with strained right groin
2021-03-15,Keita Bates-Diop,placed on IL with strained right hamstring
2021-03-16,Keljin Blevins,placed on IL
2021-03-16,Kevin Love,placed on IL with right calf injury
2021-03-16,David Nwaba,placed on IL with sprained right wrist (out for season)
2021-03-16,Jarrett Culver,placed on IL with left big toe injury
2021-03-17,Kemba Walker,placed on IL with left knee injury
2021-03-17,Sean McDermott,placed on IL
2021-03-17,Marvin Bagley III,placed on IL with fractured left hand
2021-03-17,Jalen Harris,placed on IL
2021-03-18,Mike Conley Jr.,placed on IL with right hamstring injury
2021-03-18,Immanuel Quickley,placed on IL with sore left ankle
2021-03-19,Seth Curry,placed on IL with sprained left ankle
2021-03-19,Cody Zeller,placed on IL with bursitis in left shoulder
2021-03-19,Jahmi'us Ramsey,placed on IL with strained right hamstring
2021-03-19,JaKarr Sampson,placed on IL with sore left knee
2021-03-19,Rodney McGruder,placed on IL with sprained right elbow
2021-03-19,Davis Bertans,placed on IL with strained right calf
2021-03-21,LaMelo Ball,placed on IL with fractured right wrist
2021-03-21,LeBron James,placed on IL with right high ankle sprain
2021-03-21,Mohamed Bamba,placed on IL with right big toe injury
2021-03-21,Terrence Ross,placed on IL with sore right knee
2021-03-21,Greg Whittington,placed on IL with sore left knee
2021-03-22,Giannis Antetokounmpo,placed on IL with sprained left knee
2021-03-22,Kemba Walker,placed on IL with left knee injury
2021-03-22,Malcolm Brogdon,placed on IL with sore lower back
2021-03-22,Myles Turner,placed on IL with sprained left ankle
2021-03-22,Victor Oladipo,placed on IL with right quadricep injury
2021-03-23,Chasson Randle,placed on IL with left groin injury
2021-03-23,Abdel Nader,placed on IL with sore right knee
2021-03-23,Stephen Curry,placed on IL with bruised tailbone
2021-03-24,Bryn Forbes,placed on IL with toe injury
2021-03-24,Collin Sexton,placed on IL with right hamstring injury
2021-03-24,Landry Shamet,placed on IL with sprained right ankle
2021-03-24,Patrick McCaw,placed on IL with left knee injury
2021-03-24,Shai Gilgeous-Alexander,placed on IL with plantar fasciitis in right foot (out for season)
2021-03-25,Semi Ojeleye,placed on IL with left side injury
2021-03-25,Reggie Bullock,placed on IL with sprained right ankle
2021-03-26,Damian Lillard,placed on IL with bruised left knee
2021-03-26,P.J. Tucker,placed on IL with strained left calf
2021-03-26,De'Andre Hunter,placed on IL with sore right knee
2021-03-26,Luka Doncic,placed on IL with tightness in lower back
2021-03-26,Dennis Smith Jr.,placed on IL with spine injury
2021-03-27,Nassir Little,placed on IL with sprained right thumb
2021-03-27,Jarrett Allen,placed on IL with concussion
2021-03-27,Kemba Walker,placed on IL with left knee injury
2021-03-27,Rajon Rondo,placed on IL with right adductor injury
2021-03-27,Mike Conley Jr.,placed on IL with right hamstring injury
2021-03-27,Julius Randle,placed on IL with left thigh injury
2021-03-27,Jaxson Hayes,placed on IL with sprained right wrist
2021-03-27,Lonzo Ball,placed on IL with right hip flexor injury
2021-03-27,Hamidou Diallo,placed on IL with right groin injury
2021-03-27,Rodney McGruder,placed on IL with sprained right elbow (out for season)
2021-03-28,Hassan Whiteside,placed on IL with sore right knee
2021-03-28,Mitchell Robinson,placed on IL with fractured right foot (out for season)
2021-03-28,Jalen Harris,placed on IL with right hip pointer
2021-03-28,Kyle Lowry,placed on IL with sore right foot
2021-03-28,Luguentz Dort,placed on IL with concussion
2021-03-29,Coby White,placed on IL with cervical injury
2021-03-29,Jaylen Brown,placed on IL with bruised left hip
2021-03-29,Justise Winslow,placed on IL with right thigh injury
2021-03-29,Juwan Morgan,placed on IL with left calf injury
2021-03-29,Doug McDermott,placed on IL with sprained right ankle
2021-03-29,Lonnie Walker IV,placed on IL with right wrist injury
2021-03-29,Eric Paschall,placed on IL with sore left wrist
2021-03-29,Bradley Beal,placed on IL with bruised right hip
2021-03-29,Gorgui Dieng,placed on IL
2021-03-30,Paul George,placed on IL with sore right foot
2021-03-30,Trey Lyles,placed on IL with sprained right ankle (out for season)
2021-03-30,Daniel Gafford,placed on IL with sprained right ankle
2021-03-30,Raulzinho Neto,placed on IL with rib injury
2021-03-31,Keljin Blevins,placed on IL
2021-03-31,Garrett Temple,placed on IL with strained right hamstring
2021-03-31,Zach LaVine,placed on IL with sprained right ankle
2021-03-31,Grayson Allen,placed on IL with sore left hip
2021-03-31,John Collins (Martin),placed on IL with sprained left ankle
2021-03-31,Derrick Rose,placed on IL with sore left ankle
2021-03-31,Jeremy Lamb,placed on IL with toe injury
2021-03-31,Sekou Doumbouya,placed on IL with migraine headache
2021-03-31,John Wall (Hildred),placed on IL with left knee injury
2021-04-01,Patrick Beverley,placed on IL with sore right knee
2021-04-01,Goran Dragic,placed on IL with lower back spasms
2021-04-01,Andre Drummond,placed on IL with right big toe injury
2021-04-01,Blake Griffin,placed on IL with left knee injury
2021-04-01,James Harden,placed on IL with right hamstring injury
2021-04-01,Brandon Ingram,placed on IL with right toe inflammation
2021-04-01,Zion Williamson,placed on IL with sprained right thumb
2021-04-01,Hamidou Diallo,placed on IL with right groin injury
2021-04-01,Gorgui Dieng,placed on IL with sprained right shoulder
2021-04-02,Trae Young,placed on IL with sore left knee
2021-04-02,Malik Monk,placed on IL with sore right foot / sprained right ankle
2021-04-02,Josh Hart,placed on IL with right thumb injury (out for season)
2021-04-02,Kyle Lowry,placed on IL with right foot injury
2021-04-02,Rodney Hood,placed on IL with right hip flexor injury
2021-04-03,Keljin Blevins,placed on IL
2021-04-03,Giannis Antetokounmpo,placed on IL with sore left knee
2021-04-03,Dylan Windler,placed on IL with surgery on left knee (out for season)
2021-04-03,Gordon Hayward,placed on IL with sprained right foot
2021-04-03,Mike Conley Jr.,placed on IL with right hamstring injury
2021-04-03,Domantas Sabonis,placed on IL with sprained left ankle
2021-04-03,Malcolm Brogdon,placed on IL with right hip injury
2021-04-03,Malik Beasley,placed on IL with left hamstring injury (out for season)
2021-04-03,Eric Paschall,placed on IL with left hip flexor injury
2021-04-03,Rui Hachimura,placed on IL with right shoulder injury
2021-04-04,Joel Embiid,placed on IL with left knee injury
2021-04-04,Kira Lewis Jr.,placed on IL with strained right calf
2021-04-04,Josh Hall,placed on IL with concussion
2021-04-05,De'Anthony Melton,placed on IL with left leg injury
2021-04-05,Blake Griffin,placed on IL with left knee injury
2021-04-05,Landry Shamet,placed on IL with sprained right ankle
2021-04-05,Tyler Johnson,placed on IL with sore right knee
2021-04-05,Mason Plumlee,placed on IL
2021-04-05,Fred VanVleet,placed on IL with left hip flexor injury
2021-04-05,Jaylen Nowell,placed on IL with tibia injury
2021-04-06,Brandon Clarke,placed on IL with left calf injury
